Scenario_ID,Regulation,Source,Query,Expected_Category,Expected_Answer,Expected_Source,Key_Compliance_Keywords
S021,FATF,Recommendation 10,When is customer due diligence required?,CDD,"Customer due diligence is required when establishing business relations, conducting certain occasional transactions, suspecting money laundering or terrorist financing, or doubting previously obtained customer information.",FATF Recommendation 10,CDD;business relations;suspicion
S022,FATF,Recommendation 10,Must customer identity be verified using reliable sources?,CDD,"Yes. Customer identity must be verified using reliable, independent source documents, data or information.",FATF Recommendation 10,identity verification;independent source;CDD
S023,FATF,Recommendation 10,When should beneficial ownership information be obtained?,CDD,Beneficial ownership information should be obtained and verified when dealing with legal persons or arrangements to identify the natural persons who ultimately own or control the customer.,FATF Recommendation 10,beneficial ownership;legal persons;control
S024,FATF,Recommendation 10,Should customer information be kept up to date?,CDD,Yes. Customer due diligence information should be kept up to date through ongoing monitoring and periodic review.,FATF Recommendation 10,ongoing monitoring;up to date;CDD
S025,FATF,Recommendation 10,Can simplified due diligence be applied in low-risk cases?,CDD,"Yes. Simplified due diligence may be applied where lower risk is identified, but it should not be used where money laundering or terrorist financing suspicion exists.",FATF Recommendation 10,simplified due diligence;low risk;suspicion
S026,FATF,Recommendation 11,How long should customer records be retained?,RecordKeeping,Customer and transaction records should be retained for at least five years after the end of the business relationship or completion of the transaction.,FATF Recommendation 11,record retention;five years;customer records
S027,FATF,Recommendation 11,Must transaction records be maintained for regulatory review?,RecordKeeping,Yes. Transaction records must be sufficient to permit reconstruction of transactions and should be available to competent authorities.,FATF Recommendation 11,transaction records;reconstruction;competent authorities
S028,FATF,Recommendation 11,Should customer identification records be retained after account closure?,RecordKeeping,Yes. Identification records should be retained for the prescribed period after account closure or termination of the business relationship.,FATF Recommendation 11,identification records;account closure;retention
S029,FATF,Recommendation 11,What records must be available to competent authorities?,RecordKeeping,"Customer identification data, account files, business correspondence and transaction records should be available to competent authorities.",FATF Recommendation 11,account files;business correspondence;authorities
S030,FATF,Recommendation 11,Can records be stored electronically?,RecordKeeping,"Yes. Records may be stored electronically if they are accurate, retrievable, secure and available to competent authorities when required.",FATF Recommendation 11,electronic records;retrievable;secure
S031,FATF,Recommendation 20,When must suspicious transactions be reported?,AML,Suspicious transactions must be reported promptly when a financial institution suspects or has reasonable grounds to suspect money laundering or terrorist financing.,FATF Recommendation 20,suspicious transaction;prompt reporting;reasonable grounds
S032,FATF,Recommendation 20,Should attempted suspicious transactions be reported?,AML,Yes. Attempted suspicious transactions should be reported when suspicion or reasonable grounds exist.,FATF Recommendation 20,attempted suspicious transaction;reporting
S033,FATF,Recommendation 20,Can reporting obligations be waived due to client confidentiality?,AML,No. Suspicious transaction reporting obligations cannot be waived on the basis of client confidentiality.,FATF Recommendation 20,confidentiality;STR;waiver
S034,FATF,Recommendation 20,Who receives suspicious transaction reports?,AML,Suspicious transaction reports should be submitted to the relevant Financial Intelligence Unit or competent authority.,FATF Recommendation 20,FIU;competent authority;STR
S035,FATF,Recommendation 20,What indicators trigger suspicious transaction reporting?,AML,"Indicators include unusual patterns, lack of lawful purpose, inconsistency with customer profile, links to high-risk jurisdictions or suspected criminal activity.",FATF Recommendation 20,indicators;unusual pattern;high-risk jurisdiction
S036,Basel III,CET1,What is the minimum Common Equity Tier 1 ratio requirement?,CapitalAdequacy,"Basel III requires banks to maintain a minimum Common Equity Tier 1 ratio of 4.5 percent of risk-weighted assets, before applicable buffers.",Basel III CET1,CET1;4.5%;risk-weighted assets
S037,Basel III,CET1,How is CET1 capital calculated?,CapitalAdequacy,"CET1 capital includes the highest quality capital such as common shares and retained earnings, adjusted for regulatory deductions.",Basel III CET1,common shares;retained earnings;deductions
S038,Basel III,CET1,Can retained earnings be included in CET1 capital?,CapitalAdequacy,"Yes. Retained earnings may form part of CET1 capital, subject to regulatory adjustments and deductions.",Basel III CET1,retained earnings;CET1;adjustments
S039,Basel III,CET1,What assets are deducted from CET1 capital?,CapitalAdequacy,"Regulatory deductions may include goodwill, certain intangible assets, deferred tax assets and other items specified by the Basel framework.",Basel III CET1,deductions;goodwill;intangible assets
S040,Basel III,CET1,How does CET1 support financial stability?,CapitalAdequacy,CET1 supports financial stability by ensuring banks hold high-quality loss-absorbing capital against risk-weighted exposures.,Basel III CET1,loss absorption;financial stability;capital
S041,Basel III,Capital Buffer,What is the purpose of the Capital Conservation Buffer?,CapitalBuffer,The Capital Conservation Buffer requires banks to hold additional capital above minimum requirements to absorb losses during periods of stress.,Basel III Capital Buffer,capital conservation buffer;stress;loss absorption
S042,Basel III,Capital Buffer,When can banks draw down capital buffers?,CapitalBuffer,"Banks may draw down buffers during stress periods, but doing so may trigger restrictions on capital distributions.",Basel III Capital Buffer,drawdown;stress;distribution restrictions
S043,Basel III,Capital Buffer,What restrictions apply when capital buffers are breached?,CapitalBuffer,"When buffers are breached, banks may face constraints on dividends, share buybacks and discretionary bonus payments.",Basel III Capital Buffer,buffer breach;dividends;bonuses
S044,Basel III,Capital Buffer,What is the Countercyclical Capital Buffer?,CapitalBuffer,The Countercyclical Capital Buffer is an additional buffer activated by authorities to protect banks against excessive credit growth and systemic risk.,Basel III Capital Buffer,countercyclical buffer;credit growth;systemic risk
S045,Basel III,Capital Buffer,Who determines countercyclical buffer levels?,CapitalBuffer,National authorities determine countercyclical buffer levels based on macroprudential conditions and credit risk indicators.,Basel III Capital Buffer,national authority;macroprudential;buffer level
S046,Basel III,Liquidity Coverage Ratio,What is the Liquidity Coverage Ratio?,Liquidity,The Liquidity Coverage Ratio requires banks to hold enough high-quality liquid assets to withstand net cash outflows over a 30-day stress period.,Basel III LCR,LCR;HQLA;30-day stress
S047,Basel III,Liquidity Coverage Ratio,What assets qualify as high-quality liquid assets?,Liquidity,High-quality liquid assets are assets that can be easily and immediately converted into cash with little or no loss of value under stress.,Basel III LCR,HQLA;liquid assets;cash conversion
S048,Basel III,Liquidity Coverage Ratio,What is the minimum Liquidity Coverage Ratio requirement?,Liquidity,Basel III requires the stock of high-quality liquid assets to be at least equal to total net cash outflows over the 30-day stress period.,Basel III LCR,minimum LCR;net cash outflows;HQLA
S049,Basel III,Liquidity Coverage Ratio,How does the LCR improve banking resilience?,Liquidity,The LCR improves resilience by ensuring banks maintain sufficient liquid assets to meet short-term liquidity stress.,Basel III LCR,resilience;liquidity stress;liquid assets
S050,Basel III,Liquidity Coverage Ratio,How often should liquidity positions be monitored?,Liquidity,Liquidity positions should be monitored regularly and actively to ensure ongoing compliance with liquidity risk requirements.,Basel III LCR,monitoring;liquidity position;risk management
S051,SARB,Prudential Standard,How should banks assess money laundering risk?,Prudential,"Banks should apply a risk-based approach, identifying, assessing, monitoring and mitigating money laundering and terrorist financing risks.",SARB Prudential Standards,risk-based approach;ML/TF risk;mitigation
S052,SARB,Prudential Standard,What governance structures support AML compliance?,Prudential,"Effective AML compliance requires board oversight, senior management accountability, independent compliance functions and documented controls.",SARB Prudential Standards,governance;board oversight;compliance function
S053,SARB,Prudential Standard,Must banks maintain independent compliance functions?,Prudential,Yes. Banks should maintain independent compliance and risk management functions proportionate to their size and risk profile.,SARB Prudential Standards,independent compliance;risk management;risk profile
S054,SARB,Prudential Standard,How should compliance breaches be escalated?,Prudential,"Compliance breaches should be escalated through defined governance channels to management, compliance committees and regulators where required.",SARB Prudential Standards,breach escalation;governance;regulator
S055,SARB,Prudential Standard,What role does senior management play in AML governance?,Prudential,"Senior management is responsible for implementing effective AML controls, ensuring resources and overseeing compliance risk management.",SARB Prudential Standards,senior management;AML controls;oversight
S056,SARB,Prudential Standard,How often should AML controls be reviewed?,Prudential,"AML controls should be reviewed regularly and updated when risk exposure, regulations or business operations change.",SARB Prudential Standards,control review;AML;regulatory change
S057,SARB,Prudential Standard,Must banks perform enterprise-wide risk assessments?,Prudential,Yes. Banks should conduct enterprise-wide risk assessments to identify and manage institution-wide financial crime risks.,SARB Prudential Standards,enterprise-wide risk assessment;financial crime;risk management
S058,SARB,Prudential Standard,How should high-risk customers be monitored?,Prudential,"High-risk customers should be subject to enhanced monitoring, periodic review and risk-based escalation.",SARB Prudential Standards,high-risk customer;enhanced monitoring;periodic review
S059,SARB,Prudential Standard,What documentation is required during regulatory inspections?,Prudential,"Banks should maintain sufficient documentation of policies, procedures, risk assessments, controls and compliance evidence for inspection.",SARB Prudential Standards,documentation;inspection;compliance evidence
S060,SARB,Prudential Standard,How should compliance training programmes be implemented?,Prudential,"Training programmes should be risk-based, role-specific, documented and regularly updated to reflect regulatory obligations.",SARB Prudential Standards,training;role-specific;risk-based
S061,FSCA,Conduct Standard,How should customer interests be protected?,Conduct,"Financial institutions should treat customers fairly, act honestly and ensure products and services are suitable and clearly explained.",FSCA Conduct Standards,customer interests;treating customers fairly;suitability
S062,FSCA,Conduct Standard,What disclosures must be provided to customers?,Conduct,"Customers should receive clear, fair and not misleading disclosures about products, fees, risks and obligations.",FSCA Conduct Standards,disclosure;fees;risks
S063,FSCA,Conduct Standard,How should complaints be managed?,Conduct,"Complaints should be recorded, investigated, resolved fairly and tracked through an effective complaints management process.",FSCA Conduct Standards,complaints;fair resolution;recordkeeping
S064,FSCA,Conduct Standard,What records must be maintained for customer interactions?,Conduct,"Institutions should maintain records of advice, disclosures, complaints, customer instructions and material communications.",FSCA Conduct Standards,customer records;advice;disclosures
S065,FSCA,Conduct Standard,How should conflicts of interest be managed?,Conduct,"Conflicts of interest should be identified, disclosed, managed and mitigated through appropriate governance controls.",FSCA Conduct Standards,conflict of interest;disclosure;mitigation
S066,FSCA,Conduct Standard,What governance mechanisms support fair treatment of customers?,Conduct,"Governance mechanisms include board oversight, conduct risk management, policies, monitoring controls and accountability structures.",FSCA Conduct Standards,governance;conduct risk;accountability
S067,FSCA,Conduct Standard,How should product suitability be assessed?,Conduct,"Product suitability should be assessed against customer needs, financial circumstances, risk profile and intended product outcomes.",FSCA Conduct Standards,product suitability;customer needs;risk profile
S068,FSCA,Conduct Standard,What reporting obligations exist for conduct breaches?,Conduct,Material conduct breaches should be escalated internally and reported to the regulator where required by applicable standards.,FSCA Conduct Standards,conduct breach;reporting;escalation
S069,FSCA,Conduct Standard,How should vulnerable customers be protected?,Conduct,"Vulnerable customers should receive fair treatment, appropriate support, clear communication and safeguards against unfair outcomes.",FSCA Conduct Standards,vulnerable customers;fair treatment;safeguards
S070,FSCA,Conduct Standard,What role does compliance monitoring play in conduct risk management?,Conduct,"Compliance monitoring identifies conduct risks, tests controls, detects poor outcomes and supports corrective action.",FSCA Conduct Standards,compliance monitoring;conduct risk;corrective action
S071,POPIA,Section 19,What security measures must protect personal information?,DataProtection,"Responsible parties must implement appropriate, reasonable technical and organisational measures to protect personal information from loss, damage or unauthorised access.",POPIA Section 19,security safeguards;technical measures;organisational measures
S072,POPIA,Section 19,How should organisations prevent unauthorised access to personal data?,DataProtection,"Organisations should use reasonable security controls such as access management, monitoring, safeguards and risk-based protection measures.",POPIA Section 19,unauthorised access;security controls;access management
S073,POPIA,Section 19,What technical controls support information security?,DataProtection,"Technical controls may include access controls, encryption, monitoring, secure storage, authentication and incident detection measures.",POPIA Section 19,encryption;authentication;monitoring
S074,POPIA,Section 20,Who is responsible for compliance with POPIA requirements?,DataProtection,The responsible party is accountable for ensuring that processing of personal information complies with POPIA.,POPIA Section 20,responsible party;accountability;processing
S075,POPIA,Section 20,Can responsibility for POPIA compliance be delegated?,DataProtection,"Operational tasks may be delegated, but accountability for lawful processing remains with the responsible party.",POPIA Section 20,delegation;accountability;responsible party
S076,POPIA,Section 20,What accountability obligations apply to responsible parties?,DataProtection,"Responsible parties must ensure personal information is processed lawfully, securely and in accordance with POPIA requirements.",POPIA Section 20,lawful processing;security;accountability
S077,POPIA,Section 22,When must a data breach be reported?,DataProtection,A data breach must be reported when there are reasonable grounds to believe personal information has been accessed or acquired by an unauthorised person.,POPIA Section 22,data breach;unauthorised access;notification
S078,POPIA,Section 22,Who must be notified following a data breach?,DataProtection,The Information Regulator and affected data subjects must be notified where required under POPIA.,POPIA Section 22,Information Regulator;data subject;notification
S079,POPIA,Section 22,What information should be included in a breach notification?,DataProtection,"A breach notification should provide sufficient information about the compromise, possible consequences and measures taken or recommended.",POPIA Section 22,breach notification;consequences;remedial action
S080,POPIA,Section 22,How quickly should data breaches be communicated?,DataProtection,"Data breaches should be communicated as soon as reasonably possible after discovery, subject to legitimate law enforcement or investigation needs.",POPIA Section 22,as soon as reasonably possible;breach;communication
S081,AML,Operational,Should a cash deposit exceeding internal thresholds trigger review?,AML,Yes. A cash deposit exceeding internal or regulatory risk thresholds should trigger review and possible escalation.,AML/KYC Operational Controls,cash deposit;threshold;review
S082,AML,Operational,Must unusual cross-border transactions be investigated?,AML,"Yes. Unusual cross-border transactions should be investigated, particularly where they are inconsistent with the customer profile or involve high-risk jurisdictions.",AML/KYC Operational Controls,cross-border;unusual transaction;high-risk jurisdiction
S083,AML,Operational,How should structuring behaviour be handled?,AML,Structuring behaviour should be flagged for investigation because repeated transactions below thresholds may indicate avoidance of reporting controls.,AML/KYC Operational Controls,structuring;threshold avoidance;investigation
S084,AML,Operational,Should transactions involving sanctioned entities be escalated?,AML,Yes. Transactions involving sanctioned entities should be blocked or escalated according to sanctions screening and AML procedures.,AML/KYC Operational Controls,sanctions;escalation;screening
S085,AML,Operational,Must high-risk jurisdictions trigger enhanced monitoring?,AML,Yes. Transactions linked to high-risk jurisdictions should trigger enhanced monitoring and risk-based review.,AML/KYC Operational Controls,high-risk jurisdiction;enhanced monitoring;review
S086,AML,Operational,Should repeated small transactions be aggregated for review?,AML,Yes. Repeated small transactions should be aggregated and reviewed where they indicate possible structuring or suspicious activity.,AML/KYC Operational Controls,aggregation;small transactions;structuring
S087,AML,Operational,What action should follow detection of suspicious behaviour?,AML,"Suspicious behaviour should be investigated, documented, escalated and reported to the appropriate authority where reporting criteria are met.",AML/KYC Operational Controls,suspicious behaviour;escalation;reporting
S088,AML,Operational,Must politically exposed persons receive enhanced scrutiny?,AML,Yes. Politically exposed persons should receive enhanced due diligence and ongoing monitoring due to elevated corruption and financial crime risks.,AML/KYC Operational Controls,PEP;enhanced due diligence;ongoing monitoring
S089,AML,Operational,How should beneficial ownership risks be assessed?,AML,"Beneficial ownership risks should be assessed by identifying ultimate beneficial owners, verifying control structures and applying enhanced checks where risk is elevated.",AML/KYC Operational Controls,beneficial ownership;control structure;risk assessment
S090,AML,Operational,When should suspicious activity reports be filed?,AML,A suspicious activity report should be filed when investigation confirms suspicion or reasonable grounds to suspect unlawful activity or money laundering.,AML/KYC Operational Controls,SAR;reasonable grounds;money laundering
S091,KYC,Operational,Can a customer account be opened without proof of identity?,KYC,No. A customer account should not be opened unless identity verification requirements have been satisfied or a permitted risk-based exception applies.,AML/KYC Operational Controls,proof of identity;account opening;verification
S092,KYC,Operational,Must beneficial ownership be established for corporate customers?,KYC,Yes. Beneficial ownership should be established and verified for corporate customers to identify the natural persons who ultimately own or control the entity.,AML/KYC Operational Controls,beneficial ownership;corporate customer;verification
S093,KYC,Operational,How often should customer information be updated?,KYC,"Customer information should be updated periodically and when risk triggers occur, such as changes in ownership, activity or customer risk profile.",AML/KYC Operational Controls,customer information;periodic update;risk trigger
S094,KYC,Operational,What verification steps apply to remote onboarding?,KYC,"Remote onboarding should include reliable identity verification, risk assessment, fraud controls and checks appropriate to non-face-to-face onboarding risks.",AML/KYC Operational Controls,remote onboarding;identity verification;fraud controls
S095,KYC,Operational,Must customer risk ratings be maintained?,KYC,"Yes. Customer risk ratings should be assigned, maintained and reviewed to support risk-based due diligence and monitoring.",AML/KYC Operational Controls,risk rating;risk-based;monitoring
S096,KYC,Operational,Should expired identification documents trigger review?,KYC,Yes. Expired identification documents should trigger customer information review and updated verification where required.,AML/KYC Operational Controls,expired ID;review;updated verification
S097,KYC,Operational,How should incomplete customer records be handled?,KYC,"Incomplete customer records should be remediated, escalated or restricted according to the institution’s risk and compliance procedures.",AML/KYC Operational Controls,incomplete records;remediation;escalation
S098,KYC,Operational,When should enhanced due diligence be applied?,KYC,"Enhanced due diligence should be applied where customers, transactions or relationships present higher risk, including PEPs and high-risk jurisdictions.",AML/KYC Operational Controls,enhanced due diligence;high risk;PEP
S099,KYC,Operational,Can low-risk customers receive simplified due diligence?,KYC,Yes. Simplified due diligence may be applied to low-risk customers if no suspicion exists and the approach is permitted by regulation and internal policy.,AML/KYC Operational Controls,simplified due diligence;low risk;policy
S100,KYC,Operational,What documentation is required for customer onboarding?,KYC,"Customer onboarding documentation should include identity information, verification evidence, risk assessment, beneficial ownership information where applicable and records of due diligence performed.",AML/KYC Operational Controls,onboarding documentation;verification evidence;risk assessment
